Datum,Gesamtzahl Impfungen,MA,MSTD_Impfungen,OTG_Impfungen,UTG_Impfungen,SOLL_Impfungen60,SOLL_Impfungen30,SOLL_Impfungen15,SOLL_Impfungen5
2020-12-28 00:00:00,18960.0,21291.0,3296.5318138916846,24587.531813891685,17994.468186108315,373750,185068,90727,27833
2020-12-29 00:00:00,42152.0,28244.666666666668,12267.599656547867,40512.266323214535,15977.0670101188,373750,185068,90727,27833
2020-12-30 00:00:00,56519.0,35313.25,17325.95785471422,52639.207854714216,17987.29214528578,373750,185068,90727,27833
2020-12-31 00:00:00,37235.0,35697.6,15029.31256910974,50726.912569109736,20668.28743089026,373750,185068,90727,27833
2021-01-01 00:00:00,30212.0,34783.333333333336,13627.893830914103,48411.22716424744,21155.439502419234,373750,185068,90727,27833
2021-01-02 00:00:00,44400.0,36157.142857142855,12960.621518386268,49117.76437552912,23196.52133875659,373750,185068,90727,27833
2021-01-03 00:00:00,24237.0,36245.0,12863.204810621653,49108.20481062165,23381.795189378347,373750,185068,90727,27833
2021-01-04 00:00:00,47441.0,40313.71428571428,10827.975860616574,51141.69014633086,29485.73842509771,373750,185068,90727,27833
2021-01-05 00:00:00,48252.0,41185.142857142855,11238.266020292327,52423.408877435184,29946.876836850526,373750,185068,90727,27833
2021-01-06 00:00:00,52991.0,40681.142857142855,10490.191568453702,51171.33442559656,30190.951288689153,373750,185068,90727,27833
2021-01-07 00:00:00,50938.0,42638.71428571428,11005.811581679407,53644.52586739369,31632.902704034874,373750,185068,90727,27833
